"collection","title","actual_source_path","package_path","extension","size_bytes","subjects","resource_id","resource_type","notes"
"canada-bc-curriculum","en_adst_11_tourism_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_tourism_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_tourism_elab.docx","docx","108163","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-tourism-elab.ed6c2ce2.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_woodwork_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_woodwork_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_woodwork_elab.docx","docx","106502","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-woodwork-elab.324f6d52.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_accounting_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_accounting_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_accounting_elab.docx","docx","105911","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-accounting-elab.b4afad6d.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_art-metal-and-jewellery_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_art-metal-and-jewellery_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_art-metal-and-jewellery_elab.docx","docx","107965","computing;arts;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-art-metal-and-jewellery-elab.57121c4c.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_automotive-technology_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_automotive-technology_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_automotive-technology_elab.docx","docx","105943","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-automotive-technology-elab.4e3d6def.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_business-computer-applications_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_business-computer-applications_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_business-computer-applications_elab.docx","docx","124898","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-business-computer-applications-elab.fc41ddbf.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_child-development-and-caregiving_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_child-development-and-caregiving_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_child-development-and-caregiving_elab.docx","docx","108159","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-child-development-and-caregiving-elab.603da4da.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_computer-information-systems_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_computer-information-systems_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_computer-information-systems_elab.docx","docx","125190","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-computer-information-systems-elab.b5fd4207.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_computer-programming_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_computer-programming_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_computer-programming_elab.docx","docx","107264","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-computer-programming-elab.02bea2cd.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_culinary-arts_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_culinary-arts_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_culinary-arts_elab.docx","docx","126463","computing;arts;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-culinary-arts-elab.49a1434e.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_digital-media-development_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_digital-media-development_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_digital-media-development_elab.docx","docx","108358","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-digital-media-development-elab.55380873.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_drafting_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_drafting_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_drafting_elab.docx","docx","106385","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-drafting-elab.3c53483b.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_e-commerce_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_e-commerce_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_e-commerce_elab.docx","docx","108567","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-e-commerce-elab.96eab609.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_12_economics_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_economics_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_12_economics_elab.docx","docx","107495","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-12-economics-elab.d5183fd3.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
